Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.10.10.10-36.91.124.58-22-53-17,36.91.124.58,53,10.10.10.10,22,17,21/09/2021 04:45:32 PM,354995,7,1,10304.0,1472.0,1472.0,1472.0,1472.0,0.0,1472.0,1472.0,1472.0,0.0,33172.29820138312,22.53552866941788,50713.571428571435,72971.58194771702,167990.0,5977.0,347988.0,57998.0,77097.9491919208,167990.0,5977.0,0,0,0,0,0,0,0,0,0,56,8,19.718587585740643,2.816941083677235,1472.0,1472.0,1472.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1656.0,1472.0,1472.0,0,0,0,0,0,0,7,10304,1,1472,-1,-1,7,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-85.113.24.245-22-53-17,85.113.24.245,53,10.10.10.10,22,17,21/09/2021 04:45:32 PM,481424,3,1,4344.0,1448.0,1448.0,1448.0,1448.0,0.0,1448.0,1448.0,1448.0,0.0,12030.974774834656,8.308684236764266,160474.6666666667,267759.16348900803,469655.0,5103.0,11769.0,5884.5,1105.2078989945737,6666.0,5103.0,0,0,0,0,0,0,0,0,0,24,8,6.231513177573199,2.0771710591910666,1448.0,1448.0,1448.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1810.0,1448.0,1448.0,0,0,0,0,0,0,3,4344,1,1448,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
162.159.130.234-10.10.10.10-443-53554-6,162.159.130.234,443,10.10.10.10,53554,6,21/09/2021 04:45:45 PM,7329255,11,1,13402.0,0.0,6143.0,0.0,1218.3636363636365,1944.6760795940938,0.0,0.0,0.0,0.0,1828.5623845806974,1.6372741840746434,666295.9090909091,2073189.8873522151,6914684.0,0.0,7323548.0,732354.8,2173096.807494871,6914684.0,0.0,0,0,0,0,0,0,0,0,0,220,32,1.5008346687350897,0.13643951533955362,0.0,6143.0,1030.923076923077,1833.2514130881623,3360810.7435897435,0,1,0,0,1,0,0,0,0.0,1116.8333333333333,1218.3636363636363,0.0,0,0,0,0,0,0,11,13402,1,0,-1,65535,7,0,414571.0,0.0,414571.0,414571.0,6914684.0,0.0,6914684.0,6914684.0,No Label
10.10.10.10-46.148.21.60-10301-60000-6,46.148.21.60,60000,10.10.10.10,10301,6,21/09/2021 04:45:26 PM,16832064,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17823126147809326,8416032.0,5476788.093449663,1.2288706E7,4543358.0,1.2288706E7,1.2288706E7,0.0,1.2288706E7,1.2288706E7,0,0,0,0,0,0,0,0,0,40,20,0.1188208409853955,0.05941042049269775,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,1024,0,0,4543358.0,0.0,4543358.0,4543358.0,1.2288706E7,0.0,1.2288706E7,1.2288706E7,No Label
10.10.10.10-36.94.90.34-22-53-17,36.94.90.34,53,10.10.10.10,22,17,21/09/2021 04:45:28 PM,244,3,1,90.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,30.0,0.0,491803.2786885246,16393.44262295082,81.33333333333333,70.46512139586032,124.0,0.0,120.0,60.0,84.8528137423857,120.0,0.0,0,0,0,0,0,0,0,0,0,24,8,12295.081967213115,4098.360655737705,30.0,30.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,37.5,30.0,30.0,0,0,0,0,0,0,3,90,1,30,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
5.117.52.150-10.10.10.10-37002-88-6,5.117.52.150,37002,10.10.10.10,88,6,21/09/2021 04:45:39 PM,1000096,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998080184302305,1000096.0,0.0,1000096.0,1000096.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0.9999040092151152,0.9999040092151152,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,14600,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-36.91.157.217-22-53-17,36.91.157.217,53,10.10.10.10,22,17,21/09/2021 04:45:24 PM,166047,9,1,13248.0,1472.0,1472.0,1472.0,1472.0,0.0,1472.0,1472.0,1472.0,0.0,88649.59920986227,60.22391250669991,18449.666666666668,6701.914409331113,30522.0,14988.0,150543.0,18817.874999999996,7066.658968858116,30522.0,14988.0,0,0,0,0,0,0,0,0,0,72,8,54.20152125602992,6.022391250669991,1472.0,1472.0,1472.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1619.2,1472.0,1472.0,0,0,0,0,0,0,9,13248,1,1472,-1,-1,9,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-80.83.233.167-0-0-0,80.83.233.167,0,10.10.10.10,0,0,21/09/2021 04:45:24 PM,2266512,85,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.94376557459215,26664.847058823536,66823.88875913311,596227.0,0.0,2266511.0,26982.273809523795,67160.73800952731,596227.0,0.0,0,0,0,0,0,0,0,0,0,0,0,37.5025589981434,0.4412065764487459,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,85,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-83.120.224.134-88-33442-6,83.120.224.134,33442,10.10.10.10,88,6,21/09/2021 04:45:31 PM,2989547,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0034965163618434,1494773.5,714298.7642579959,1999859.0,989688.0,1999859.0,1999859.0,0.0,1999859.0,1999859.0,0,0,0,0,0,0,0,0,0,80,40,0.6689976775745623,0.33449883878728115,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,42340,0,0,0,0,0,0,0,0,0,0,No Label
10.10.10.10-84.197.144.127-8080-51223-6,84.197.144.127,51223,10.10.10.10,8080,6,21/09/2021 04:45:44 PM,5217490,10,1,3916.0,0.0,916.0,0.0,391.59999999999997,408.9882367229867,0.0,0.0,0.0,0.0,750.5524687158002,2.1082934514488767,521749.00000000006,1555447.0863066278,4948098.0,0.0,5185909.0,576212.1111111111,1639656.214051702,4948098.0,0.0,0,0,0,0,0,0,0,0,0,200,32,1.9166304104080698,0.19166304104080698,0.0,916.0,326.3333333333333,400.1166496577384,160093.33333333334,0,1,0,0,0,0,0,0,0.0,356.0,391.6,0.0,0,0,0,0,0,0,10,3916,1,0,-1,64240,6,0,0,0,0,0,0,0,0,0,No Label
