Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.1-244.150.251.90-301-51704-6,244.150.251.90,51704,192.168.1.1,301,6,15/01/2025 11:15:05 PM,0,2,1,328.0,164.0,164.0,164.0,164.0,0.0,164.0,164.0,164.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,0.0,0.0,164.0,164.0,164.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,218.66666666666666,164.0,164.0,0,0,0,0,0,0,2,328,1,164,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-55.132.109.73-435-58201-6,55.132.109.73,58201,192.168.1.1,435,6,15/01/2025 11:15:04 PM,0,5,1,300.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,100,20,0.0,0.0,60.0,60.0,60.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,70.0,60.0,60.0,0,0,0,0,0,0,5,300,1,60,-1,8192,5,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-62.175.46.4-441-17634-6,62.175.46.4,17634,192.168.1.1,441,6,15/01/2025 11:15:03 PM,0,1,1,165.0,165.0,165.0,165.0,165.0,0.0,165.0,165.0,165.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,165.0,165.0,165.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,247.5,165.0,165.0,0,0,0,0,0,0,1,165,1,165,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-223.58.241.5-216-2924-6,223.58.241.5,2924,192.168.1.1,216,6,15/01/2025 11:15:05 PM,0,1,1,63.0,63.0,63.0,63.0,63.0,0.0,63.0,63.0,63.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,63.0,63.0,63.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,94.5,63.0,63.0,0,0,0,0,0,0,1,63,1,63,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-221.95.4.85-292-57090-6,221.95.4.85,57090,192.168.1.1,292,6,15/01/2025 11:15:07 PM,0,1,1,169.0,169.0,169.0,169.0,169.0,0.0,169.0,169.0,169.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,169.0,169.0,169.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,253.5,169.0,169.0,0,0,0,0,0,0,1,169,1,169,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-115.205.55.59-285-17623-6,115.205.55.59,17623,192.168.1.1,285,6,15/01/2025 11:15:07 PM,0,1,1,171.0,171.0,171.0,171.0,171.0,0.0,171.0,171.0,171.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,171.0,171.0,171.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,256.5,171.0,171.0,0,0,0,0,0,0,1,171,1,171,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-25.177.19.230-377-52900-6,25.177.19.230,52900,192.168.1.1,377,6,15/01/2025 11:15:04 PM,0,1,1,122.0,122.0,122.0,122.0,122.0,0.0,122.0,122.0,122.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,122.0,122.0,122.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,183.0,122.0,122.0,0,0,0,0,0,0,1,122,1,122,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-9.112.80.22-135-29834-6,9.112.80.22,29834,192.168.1.1,135,6,15/01/2025 11:15:05 PM,0,1,1,173.0,173.0,173.0,173.0,173.0,0.0,173.0,173.0,173.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,173.0,173.0,173.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,259.5,173.0,173.0,0,0,0,0,0,0,1,173,1,173,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-112.251.76.154-128-14441-6,112.251.76.154,14441,192.168.1.1,128,6,15/01/2025 11:15:07 PM,0,2,1,384.0,192.0,192.0,192.0,192.0,0.0,192.0,192.0,192.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,0.0,0.0,192.0,192.0,192.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,256.0,192.0,192.0,0,0,0,0,0,0,2,384,1,192,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-65.117.121.18-304-8583-6,65.117.121.18,8583,192.168.1.1,304,6,15/01/2025 11:15:02 PM,0,2,1,220.0,110.0,110.0,110.0,110.0,0.0,110.0,110.0,110.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,0.0,0.0,110.0,110.0,110.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,146.66666666666666,110.0,110.0,0,0,0,0,0,0,2,220,1,110,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-94.185.193.118-287-15961-6,94.185.193.118,15961,192.168.1.1,287,6,15/01/2025 11:15:06 PM,0,1,1,103.0,103.0,103.0,103.0,103.0,0.0,103.0,103.0,103.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,103.0,103.0,103.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,154.5,103.0,103.0,0,0,0,0,0,0,1,103,1,103,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-58.198.123.181-250-63253-6,58.198.123.181,63253,192.168.1.1,250,6,15/01/2025 11:15:08 PM,0,1,1,116.0,116.0,116.0,116.0,116.0,0.0,116.0,116.0,116.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,116.0,116.0,116.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,174.0,116.0,116.0,0,0,0,0,0,0,1,116,1,116,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
